epoch,step,train_acc,train_loss,val_acc,val_loss
0,170,,,0.049414824694395065,1.479398250579834
0,170,0.4962601661682129,3.064868211746216,,
1,341,,,0.049414824694395065,1.4794490337371826
1,341,0.4848780632019043,2.9541945457458496,,
2,512,,,0.049414824694395065,1.4794631004333496
2,512,0.5115447044372559,3.0448200702667236,,
3,683,,,0.049414824694395065,1.4794604778289795
3,683,0.5056910514831543,3.024791955947876,,
4,854,,,0.049414824694395065,1.479381799697876
4,854,0.5086178779602051,3.0353446006774902,,
5,1025,,,0.05331599339842796,1.381066083908081
5,1025,0.49495935440063477,2.969130516052246,,
6,1196,,,0.05721716582775116,1.3832690715789795
6,1196,0.5274796485900879,3.0442252159118652,,
7,1367,,,0.06892067939043045,1.356866478919983
7,1367,0.4972357749938965,2.908611297607422,,
8,1538,,,0.10403121262788773,1.3183045387268066
8,1538,0.5294308662414551,2.944002866744995,,
9,1709,,,0.07802340388298035,1.33702552318573
9,1709,0.517723560333252,2.9457905292510986,,
10,1880,,,0.10143043100833893,1.3322741985321045
10,1880,0.5226016044616699,2.9105207920074463,,
11,2051,,,0.12223666906356812,1.309463381767273
11,2051,0.5258536338806152,2.885439395904541,,
12,2222,,,0.144343301653862,1.2729382514953613
12,2222,0.5632520318031311,2.939674139022827,,
13,2393,,,0.11183355003595352,1.2903027534484863
13,2393,0.5622764229774475,2.9040491580963135,,
14,2564,,,0.144343301653862,1.298559308052063
14,2564,0.5317073464393616,2.8619730472564697,,
15,2735,,,0.20416124165058136,1.2587677240371704
15,2735,0.5600000023841858,2.821974039077759,,
16,2906,,,0.19635890424251556,1.2616783380508423
16,2906,0.5837398171424866,2.85642147064209,,
17,3077,,,0.21196359395980835,1.2347887754440308
17,3077,0.5964227914810181,2.881077766418457,,
18,3248,,,0.23667100071907043,1.2332839965820312
18,3248,0.5977236032485962,2.905188798904419,,
19,3419,,,0.17035110294818878,1.2598445415496826
19,3419,0.5560975670814514,2.8565292358398438,,
20,3590,,,0.18335500359535217,1.2415516376495361
20,3590,0.582764208316803,2.884699583053589,,
21,3761,,,0.1417425274848938,1.268808126449585
21,3761,0.5726829171180725,2.943373680114746,,
22,3932,,,0.17425227165222168,1.2670214176177979
22,3932,0.5661788582801819,2.885312080383301,,
23,4103,,,0.23537060618400574,1.2488242387771606
23,4103,0.5980488061904907,2.91025710105896,,
24,4274,,,0.22756826877593994,1.257635235786438
24,4274,0.5860162377357483,2.8650572299957275,,
25,4445,,,0.2639791965484619,1.237524390220642
25,4445,0.6217886209487915,2.8473927974700928,,
26,4616,,,0.24317295849323273,1.237143635749817
26,4616,0.5951219797134399,2.825716733932495,,
27,4787,,,0.3016905188560486,1.2317631244659424
27,4787,0.6367479562759399,2.923304319381714,,
28,4958,,,0.24837450683116913,1.2668261528015137
28,4958,0.6435772180557251,2.8921220302581787,,
29,5129,,,0.2652795910835266,1.2250778675079346
29,5129,0.6295934915542603,2.8312437534332275,,
30,5300,,,0.2925877869129181,1.2252216339111328
30,5300,0.6504064798355103,2.8740034103393555,,
31,5471,,,0.22366710007190704,1.2657535076141357
31,5471,0.652682900428772,2.8619191646575928,,
32,5642,,,0.2990897297859192,1.2370195388793945
32,5642,0.5983740091323853,2.882511854171753,,
33,5813,,,0.35500651597976685,1.209915041923523
33,5813,0.6582114100456238,2.8962795734405518,,
34,5984,,,0.32509753108024597,1.2160365581512451
34,5984,0.6744715571403503,2.8867883682250977,,
35,6155,,,0.3211963474750519,1.2244634628295898
